,node_idx,AirportID,Airline,Stops,DestAirportID,SourceAirportID,DestSourceRatio,Country
1787,1787,3641,9.0,0.0,27.0,28.0,0.9642857142857143,United States
1788,1788,3642,2.0,0.0,4.0,4.0,1.0,United States
1789,1789,3644,9.0,0.0,18.0,18.0,1.0,United States
1790,1790,3645,23.0,0.0,216.0,217.0,0.9953917050691244,United States
1791,1791,3646,23.0,0.0,138.0,138.0,1.0,United States
1792,1792,3650,1.0,0.0,1.0,1.0,1.0,United States
1793,1793,3652,5.0,0.0,8.0,9.0,0.8888888888888888,United States
1794,1794,3653,6.0,0.0,8.0,8.0,1.0,United States
1795,1795,3658,5.0,0.0,7.0,7.0,1.0,United States
1796,1796,3659,2.0,0.0,2.0,2.0,1.0,United States
1797,1797,3660,11.0,0.0,29.0,29.0,1.0,United States
1798,1798,3661,5.0,0.0,6.0,6.0,1.0,United States
1799,1799,3664,2.0,0.0,2.0,2.0,1.0,United States
1800,1800,3665,1.0,0.0,1.0,1.0,1.0,United States
1801,1801,3670,33.0,0.0,469.0,467.0,1.0042826552462527,United States
1802,1802,3671,5.0,0.0,5.0,5.0,1.0,United States
1803,1803,3673,19.0,0.0,83.0,84.0,0.9880952380952381,United States
1804,1804,3674,1.0,0.0,2.0,2.0,1.0,United States
1805,1805,3675,3.0,0.0,3.0,3.0,1.0,United States
1806,1806,3676,11.0,0.0,31.0,31.0,1.0,United States
1807,1807,3678,16.0,0.0,114.0,107.0,1.0654205607476634,United States
1808,1808,3680,2.0,0.0,2.0,2.0,1.0,United States
1809,1809,3681,1.0,0.0,3.0,3.0,1.0,United States
1810,1810,3682,37.0,0.0,915.0,911.0,1.004390779363337,United States
1811,1811,3685,9.0,0.0,28.0,28.0,1.0,United States
1812,1812,3687,9.0,0.0,20.0,20.0,1.0,United States
1813,1813,3689,1.0,0.0,2.0,2.0,1.0,United States
1814,1814,3690,14.0,0.0,82.0,82.0,1.0,United States
1815,1815,3691,4.0,0.0,4.0,4.0,1.0,United States
1816,1816,3693,3.0,0.0,22.0,23.0,0.9565217391304348,United States
1817,1817,3694,1.0,0.0,2.0,2.0,1.0,United States
1818,1818,3696,1.0,0.0,2.0,3.0,0.6666666666666666,United States
1819,1819,3697,15.0,0.0,158.0,158.0,1.0,United States
1820,1820,3698,7.0,0.0,15.0,15.0,1.0,United States
1821,1821,3700,2.0,0.0,2.0,2.0,1.0,United States
1822,1822,3701,1.0,0.0,1.0,1.0,1.0,United States
1823,1823,3704,1.0,0.0,2.0,2.0,1.0,United States
1824,1824,3705,2.0,0.0,3.0,4.0,0.75,United States
1825,1825,3708,2.0,0.0,2.0,2.0,1.0,United States
1826,1826,3710,1.0,0.0,1.0,1.0,1.0,United States
1827,1827,3711,7.0,0.0,13.0,14.0,0.9285714285714286,United States
1828,1828,3712,14.0,0.0,46.0,45.0,1.0222222222222221,United States
1829,1829,3713,3.0,0.0,5.0,5.0,1.0,United States
